"RecordNo";"project_id";"mushrooms";"Awareness_score";"Usage_score";"Preference_score";"Familiarity_score";"FutureUsage_score";"Satisfaction_score"
1135;1;"Borowik";1;5;5;1;5;3
1135;1;"Borowik";1;5;5;1;5;3
1135;1;"Borowik";1;5;5;1;5;3
1135;1;"Borowik";1;5;4;1;5;3
1135;1;"Borowik";1;5;4;1;5;3
1135;1;"Borowik";1;5;5;1;5;3
1135;1;"Borowik";1;5;5;1;5;3
1135;1;"Borowik";1;5;5;1;5;3
1135;1;"Borowik";1;5;4;1;5;3
1135;1;"Borowik";1;5;4;1;5;3
1135;1;"Borowik";1;5;5;1;5;3
1135;1;"Borowik";1;5;5;1;5;3
1135;1;"Borowik";1;5;5;1;5;3
1135;1;"Borowik";1;5;4;1;5;3
1135;1;"Borowik";1;5;5;1;5;3
1135;1;"Borowik";1;5;5;1;5;3
1135;1;"Borowik";1;5;4;1;5;3
1135;1;"Borowik";1;5;5;1;5;3
1135;1;"Borowik";1;5;4;1;5;3
1135;1;"Borowik";1;5;4;1;5;3
1135;1;"Borowik";1;5;5;1;5;3
1135;1;"Borowik";1;5;4;1;5;3
1135;1;"Czubajka";1;2;4;1;5;1
1135;1;"Czubajka";1;2;4;1;5;1
1135;1;"Czubajka";1;2;4;1;5;1
1135;1;"Czubajka";1;2;4;1;5;1
1135;1;"Czubajka";1;2;4;1;5;1
1135;1;"Czubajka";1;2;4;1;5;1
1135;1;"Czubajka";1;2;5;1;5;1
1135;1;"Czubajka";1;2;4;1;5;1
1135;1;"Czubajka";1;2;4;1;5;1
1135;1;"Czubajka";1;2;5;1;5;1
1135;1;"Czubajka";1;2;4;1;5;1
1135;1;"Czubajka";1;2;5;1;5;1
1135;1;"Czubajka";1;2;4;1;5;1
1135;1;"Czubajka";1;2;5;1;5;1
1135;1;"Czubajka";1;2;5;1;5;1
1135;1;"Czubajka";1;2;4;1;5;1
1135;1;"Czubajka";1;2;5;1;5;1
1135;1;"Czubajka";1;2;5;1;5;1
1135;1;"Czubajka";1;2;5;1;5;1
1135;1;"Czubajka";1;2;5;1;5;1
1135;1;"Czubajka";1;2;5;1;5;1
1135;1;"Czubajka";1;2;5;1;5;1
1135;1;"Czubajka";1;2;5;1;5;1
1135;1;"Czubajka";1;2;4;1;5;1
1135;1;"Czubajka";1;2;4;1;5;1
1135;1;"Czubajka";1;2;4;1;5;1
1135;1;"Czubajka";1;2;5;1;5;1
1135;1;"Czubajka";1;2;5;1;5;1
1135;1;"Czubajka";1;2;5;1;5;1
1135;1;"Podgrzybek";1;2;4;1;2;1
1135;1;"Podgrzybek";1;2;4;1;2;1
1135;1;"Podgrzybek";1;2;5;1;2;1
1135;1;"Podgrzybek";1;2;5;1;2;1
1135;1;"Podgrzybek";1;2;5;1;2;1
1135;1;"Podgrzybek";1;2;4;1;2;1
1135;1;"Podgrzybek";1;2;4;1;2;1
1135;1;"Podgrzybek";1;2;4;1;2;1
1135;1;"Podgrzybek";1;2;5;1;2;1
1135;1;"Podgrzybek";1;2;5;1;2;1
1135;1;"Podgrzybek";1;2;5;1;2;1
